import time: self [us] | cumulative | imported package
import time:       169 |        169 | winreg
import time:       174 |        174 |   _io
import time:        23 |         23 |   marshal
import time:       109 |        109 |   nt
import time:       211 |        516 | _frozen_importlib_external
import time:       284 |        284 |   time
import time:        89 |        372 | zipimport
import time:        34 |         34 |     _codecs
import time:       199 |        232 |   codecs
import time:       664 |        664 |   encodings.aliases
import time:       876 |       1772 | encodings
import time:       227 |        227 | encodings.utf_8
import time:        35 |         35 | _signal
import time:        20 |         20 |     _abc
import time:        74 |         93 |   abc
import time:       114 |        207 | io
import time:        46 |         46 |       _stat
import time:        45 |         91 |     stat
import time:       452 |        452 |     _collections_abc
import time:        25 |         25 |       genericpath
import time:        57 |         57 |       _winapi
import time:        48 |        129 |     ntpath
import time:       155 |        825 |   os
import time:        46 |         46 |   _sitebuiltins
import time:    114678 |     114678 |   sitecustomize
import time:    391008 |     506557 | site
import time:       110 |        110 |         itertools
import time:      4455 |       4455 |         keyword
import time:       107 |        107 |           _operator
import time:      7081 |       7187 |         operator
import time:     17778 |      17778 |         reprlib
import time:        70 |         70 |         _collections
import time:     10352 |      39950 |       collections
import time:       279 |        279 |       collections.abc
import time:     16099 |      16099 |         concurrent
import time:      6599 |       6599 |                 types
import time:        92 |         92 |                   _functools
import time:     18003 |      18095 |                 functools
import time:     64956 |      89650 |               enum
import time:        61 |         61 |                 _sre
import time:       316 |        316 |                   re._constants
import time:       398 |        714 |                 re._parser
import time:       223 |        223 |                 re._casefix
import time:       529 |       1526 |               re._compiler
import time:      8365 |       8365 |               copyreg
import time:     14734 |     114274 |             re
import time:     17513 |      17513 |                   token
import time:        45 |         45 |                   _tokenize
import time:     11568 |      29125 |                 tokenize
import time:      7441 |      36566 |               linecache
import time:      8471 |       8471 |               textwrap
import time:     13251 |      13251 |               contextlib
import time:     10694 |      68981 |             traceback
import time:     21045 |      21045 |             warnings
import time:     19249 |      19249 |               _weakrefset
import time:     16286 |      35534 |             weakref
import time:        35 |         35 |               _string
import time:     13247 |      13281 |             string
import time:     35514 |      35514 |             threading
import time:        43 |         43 |             atexit
import time:     23137 |     311807 |           logging
import time:       676 |     312482 |         concurrent.futures._base
import time:       322 |     328903 |       concurrent.futures
import time:        44 |         44 |         _heapq
import time:     28412 |      28455 |       heapq
import time:     17467 |      17467 |         _socket
import time:        58 |         58 |           math
import time:     20394 |      20394 |           select
import time:      6658 |      27110 |         selectors
import time:        77 |         77 |         errno
import time:     13844 |      58496 |       socket
import time:        46 |         46 |           _locale
import time:      8629 |       8675 |         locale
import time:     28910 |      28910 |         signal
import time:     61089 |      61089 |         fcntl
import time:        53 |         53 |         msvcrt
import time:     23884 |     122608 |       subprocess
import time:     14396 |      14396 |         _ssl
import time:       141 |        141 |             _struct
import time:     13713 |      13853 |           struct
import time:        55 |         55 |           binascii
import time:     56009 |      69917 |         base64
import time:      6924 |      91235 |       ssl
import time:       602 |        602 |       asyncio.constants
import time:       860 |        860 |             _ast
import time:     10004 |      10863 |           ast
import time:        50 |         50 |               _opcode
import time:     12087 |      12137 |             opcode
import time:      8441 |      20577 |           dis
import time:      4088 |       4088 |             importlib
import time:        59 |       4146 |           importlib.machinery
import time:     13978 |      49562 |         inspect
import time:       265 |      49827 |       asyncio.coroutines
import time:        40 |         40 |           _contextvars
import time:     17103 |      17142 |         contextvars
import time:       213 |        213 |         asyncio.format_helpers
import time:       241 |        241 |           asyncio.base_futures
import time:       248 |        248 |           asyncio.exceptions
import time:       233 |        233 |           asyncio.base_tasks
import time:     13024 |      13744 |         _asyncio
import time:       514 |      31612 |       asyncio.events
import time:       350 |        350 |       asyncio.futures
import time:       241 |        241 |       asyncio.protocols
import time:       263 |        263 |         asyncio.transports
import time:       269 |        269 |         asyncio.log
import time:       708 |       1239 |       asyncio.sslproto
import time:        37 |         37 |           _typing
import time:      7032 |       7068 |         typing
import time:       246 |        246 |           asyncio.mixins
import time:       552 |        798 |         asyncio.locks
import time:       438 |        438 |           asyncio.timeouts
import time:       571 |       1009 |         asyncio.tasks
import time:       498 |       9372 |       asyncio.staggered
import time:       262 |        262 |       asyncio.trsock
import time:      1199 |     764624 |     asyncio.base_events
import time:       319 |        319 |     asyncio.runners
import time:       350 |        350 |     asyncio.queues
import time:       409 |        409 |     asyncio.streams
import time:       310 |        310 |     asyncio.subprocess
import time:       248 |        248 |     asyncio.taskgroups
import time:       242 |        242 |     asyncio.threads
import time:      9616 |       9616 |       _overlapped
import time:       314 |        314 |       asyncio.base_subprocess
import time:       564 |        564 |       asyncio.proactor_events
import time:       664 |        664 |       asyncio.selector_events
import time:     43802 |      43802 |                 posix
import time:        85 |      43887 |               posixpath
import time:     15663 |      59549 |             fnmatch
import time:       105 |        105 |             zlib
import time:      7762 |       7762 |               _compression
import time:      7874 |       7874 |               _bz2
import time:     25752 |      41387 |             bz2
import time:     10881 |      10881 |               _lzma
import time:     11442 |      22323 |             lzma
import time:     12211 |     135573 |           shutil
import time:        42 |         42 |               _bisect
import time:      2483 |       2525 |             bisect
import time:        35 |         35 |             _random
import time:        36 |         36 |             _sha2
import time:      8215 |      10809 |           random
import time:     16756 |     163137 |         tempfile
import time:       326 |     163463 |       asyncio.windows_utils
import time:       584 |     175202 |     asyncio.windows_events
import time:     13423 |     955122 |   asyncio
import time:     89898 |      89898 |     aiogram.dispatcher
import time:      7061 |       7061 |       copy
import time:     11624 |      18684 |     dataclasses
import time:     68003 |      68003 |         magic_filter.operations.base
import time:     60878 |      60878 |           magic_filter.exceptions
import time:     34583 |      95460 |         magic_filter.operations.call
import time:     96335 |      96335 |         magic_filter.operations.cast
import time:     89499 |      89499 |           magic_filter.helper
import time:     78764 |     168263 |         magic_filter.operations.combination
import time:     49550 |      49550 |         magic_filter.operations.comparator
import time:    104702 |     104702 |         magic_filter.operations.extract
import time:     95767 |      95767 |         magic_filter.operations.function
import time:    100660 |     100660 |         magic_filter.operations.getattr
import time:     68888 |      68888 |         magic_filter.operations.getitem
import time:     88076 |      88076 |         magic_filter.operations.selector
import time:    111353 |    1047053 |       magic_filter.operations
import time:     94160 |      94160 |       magic_filter.attrdict
import time:    105113 |     105113 |         magic_filter.util
import time:    103633 |     208745 |       magic_filter.magic
import time:    170650 |    1520606 |     magic_filter
import time:     77680 |    1706867 |   aiogram.dispatcher.flags
import time:    107750 |     107750 |     aiogram.enums.bot_command_scope_type
import time:     93926 |      93926 |     aiogram.enums.chat_action
import time:    100242 |     100242 |     aiogram.enums.chat_boost_source_type
import time:     87467 |      87467 |     aiogram.enums.chat_member_status
import time:    108414 |     108414 |     aiogram.enums.chat_type
import time:     92769 |      92769 |     aiogram.enums.content_type
import time:     85264 |      85264 |     aiogram.enums.currency
import time:     75632 |      75632 |     aiogram.enums.dice_emoji
import time:     77012 |      77012 |     aiogram.enums.encrypted_passport_element
import time:    100281 |     100281 |     aiogram.enums.inline_query_result_type
import time:    147042 |     147042 |     aiogram.enums.input_media_type
import time:     73429 |      73429 |     aiogram.enums.input_paid_media_type
import time:     68146 |      68146 |     aiogram.enums.input_profile_photo_type
import time:     80393 |      80393 |     aiogram.enums.input_story_content_type
import time:     93506 |      93506 |     aiogram.enums.keyboard_button_poll_type_type
import time:     78292 |      78292 |     aiogram.enums.mask_position_point
import time:     76159 |      76159 |     aiogram.enums.menu_button_type
import time:     71242 |      71242 |     aiogram.enums.message_entity_type
import time:     86285 |      86285 |     aiogram.enums.message_origin_type
import time:     48588 |      48588 |     aiogram.enums.owned_gift_type
import time:     68025 |      68025 |     aiogram.enums.paid_media_type
import time:     69150 |      69150 |     aiogram.enums.parse_mode
import time:     38303 |      38303 |     aiogram.enums.passport_element_error_type
import time:     65835 |      65835 |     aiogram.enums.poll_type
import time:     98203 |      98203 |     aiogram.enums.reaction_type_type
import time:     80000 |      80000 |     aiogram.enums.revenue_withdrawal_state_type
import time:     76737 |      76737 |     aiogram.enums.sticker_format
import time:     80623 |      80623 |     aiogram.enums.sticker_type
import time:     65293 |      65293 |     aiogram.enums.story_area_type_type
import time:     71076 |      71076 |     aiogram.enums.topic_icon_color
import time:     42685 |      42685 |     aiogram.enums.transaction_partner_type
import time:     76297 |      76297 |     aiogram.enums.transaction_partner_user_transaction_type_enum
import time:     74525 |      74525 |     aiogram.enums.update_type
import time:    156042 |    2814617 |   aiogram.enums
import time:      4356 |       4356 |       __future__
import time:       376 |        376 |                   unittest.util
import time:       477 |        853 |                 unittest.result
import time:      9693 |       9693 |                   difflib
import time:     13227 |      13227 |                   pprint
import time:       667 |      23585 |                 unittest.case
import time:       325 |        325 |                 unittest.suite
import time:      1364 |       1364 |                 unittest.loader
import time:     24558 |      24558 |                     gettext
import time:      9469 |      34027 |                   argparse
import time:       197 |        197 |                     unittest.signals
import time:       301 |        497 |                   unittest.runner
import time:       281 |      34804 |                 unittest.main
import time:     22282 |      83211 |               unittest
import time:       319 |        319 |                   importlib._abc
import time:       118 |        437 |                 importlib.util
import time:     83579 |      84015 |               pkgutil
import time:      1455 |     168681 |             unittest.mock
import time:       111 |        111 |                         _datetime
import time:     12740 |      12850 |                       datetime
import time:   1172330 |    1185179 |                     pydantic_core._pydantic_core
import time:     21492 |      21492 |                           numbers
import time:     14526 |      36018 |                         _decimal
import time:     19274 |      55292 |                       decimal
import time:    117148 |     117148 |                       typing_extensions
import time:     94770 |     267209 |                     pydantic_core.core_schema
import time:    151006 |    1603394 |                   pydantic_core
import time:    110366 |    1713759 |                 pydantic.version
import time:    185652 |    1899411 |               pydantic._migration
import time:    186038 |     186038 |                   typing_inspection
import time:    164900 |     164900 |                   typing_inspection.typing_objects
import time:    197502 |     548440 |                 typing_inspection.introspection
import time:     88706 |      88706 |                 pydantic._internal
import time:     71798 |      71798 |                     pydantic._internal._namespace_utils
import time:     53475 |     125273 |                   pydantic._internal._typing_extra
import time:    105018 |     230290 |                 pydantic._internal._repr
import time:     94248 |     961683 |               pydantic.errors
import time:    128682 |    2989775 |             pydantic
import time:    107142 |     107142 |                 pydantic._internal._internal_dataclass
import time:    103992 |     211133 |               pydantic.aliases
import time:     74630 |      74630 |               pydantic.config
import time:    128269 |     414031 |             pydantic._internal._config
import time:    168969 |     168969 |               pydantic._internal._core_utils
import time:     99382 |      99382 |                 pydantic._internal._import_utils
import time:    143931 |     243312 |               pydantic._internal._utils
import time:     91243 |     503524 |             pydantic._internal._decorators
import time:     91154 |      91154 |                 pydantic._internal._forward_ref
import time:     91882 |     183036 |               pydantic._internal._generics
import time:     67192 |      67192 |               pydantic._internal._docs_extraction
import time:     78653 |     328880 |             pydantic._internal._fields
import time:    127863 |     127863 |                 pydantic.plugin
import time:    125363 |     253225 |               pydantic.plugin._schema_validator
import time:     82037 |     335262 |             pydantic._internal._mock_val_ser
import time:      8679 |       8679 |                     urllib
import time:     10118 |      10118 |                     ipaddress
import time:      1154 |      19950 |                   urllib.parse
import time:      9695 |      29644 |                 pathlib
import time:     11879 |      11879 |                 fractions
import time:      5572 |       5572 |                   _uuid
import time:     18129 |      23701 |                 uuid
import time:     19796 |      19796 |                     sysconfig
import time:     20957 |      40752 |                   zoneinfo._tzpath
import time:       326 |        326 |                   zoneinfo._common
import time:     31202 |      31202 |                   _zoneinfo
import time:     14993 |      87273 |                 zoneinfo
import time:     68937 |      68937 |                 pydantic.annotated_handlers
import time:     45843 |      45843 |                 pydantic.functional_validators
import time:     78325 |      78325 |                   pydantic._internal._core_metadata
import time:     79213 |      79213 |                   pydantic._internal._schema_generation_shared
import time:     89092 |     246629 |                 pydantic.json_schema
import time:     89706 |      89706 |                 pydantic._internal._discriminated_union
import time:     95134 |      95134 |                 pydantic._internal._known_annotated_metadata
import time:     62274 |      62274 |                 pydantic._internal._schema_gather
import time:     81685 |     842700 |               pydantic._internal._generate_schema
import time:     92255 |      92255 |               pydantic._internal._signature
import time:     46796 |     981751 |             pydantic._internal._model_construction
import time:    111978 |     111978 |               aiogram.client
import time:    191929 |     191929 |               annotated_types
import time:    125096 |     125096 |               pydantic._internal._validators
import time:    219230 |     219230 |               pydantic.types
import time:        76 |         76 |                     _csv
import time:     11560 |      11636 |                   csv
import time:      7143 |       7143 |                   email
import time:       360 |        360 |                       zipfile._path.glob
import time:       878 |       1237 |                     zipfile._path
import time:     20272 |      21509 |                   zipfile
import time:     18886 |      18886 |                       quopri
import time:     16034 |      16034 |                           calendar
import time:       334 |      16367 |                         email._parseaddr
import time:       214 |        214 |                           email.base64mime
import time:       590 |        590 |                           email.quoprimime
import time:       396 |        396 |                           email.errors
import time:       191 |        191 |                           email.encoders
import time:       371 |       1760 |                         email.charset
import time:       522 |      18648 |                       email.utils
import time:       606 |        606 |                         email.header
import time:       338 |        943 |                       email._policybase
import time:       374 |        374 |                       email._encoded_words
import time:       191 |        191 |                       email.iterators
import time:       651 |      39691 |                     email.message
import time:       199 |        199 |                       importlib.metadata._functools
import time:       248 |        447 |                     importlib.metadata._text
import time:       410 |      40547 |                   importlib.metadata._adapters
import time:       513 |        513 |                   importlib.metadata._meta
import time:       333 |        333 |                   importlib.metadata._collections
import time:       227 |        227 |                   importlib.metadata._itertools
import time:       491 |        491 |                         importlib.resources.abc
import time:       348 |        348 |                         importlib.resources._adapters
import time:       484 |       1322 |                       importlib.resources._common
import time:       247 |        247 |                       importlib.resources._legacy
import time:       251 |       1819 |                     importlib.resources
import time:       424 |       2243 |                   importlib.abc
import time:      1212 |      85360 |                 importlib.metadata
import time:    105242 |     190601 |               pydantic.plugin._loader
import time:   1095208 |    1934040 |             aiogram.client.context_controller
import time:     86688 |      86688 |                 aiogram.utils
import time:    100524 |     187211 |               aiogram.utils.dataclass
import time:     72783 |     259994 |             aiogram.client.default
import time:    313098 |    8229032 |           aiogram.types.base
import time:    149610 |    8378641 |         aiogram.types.accepted_gift_types
import time:     79745 |      79745 |         aiogram.types.affiliate_info
import time:     50204 |      50204 |         aiogram.types.animation
import time:     60501 |      60501 |         aiogram.types.audio
import time:     52575 |      52575 |         aiogram.types.background_fill
import time:     84056 |      84056 |         aiogram.types.background_fill_freeform_gradient
import time:     56086 |      56086 |         aiogram.types.background_fill_gradient
import time:     40445 |      40445 |         aiogram.types.background_fill_solid
import time:     59623 |      59623 |         aiogram.types.background_fill_union
import time:     50959 |      50959 |         aiogram.types.background_type
import time:     54746 |      54746 |         aiogram.types.background_type_chat_theme
import time:     48869 |      48869 |         aiogram.types.background_type_fill
import time:     58383 |      58383 |         aiogram.types.background_type_pattern
import time:     83375 |      83375 |           aiogram.types.background_type_wallpaper
import time:     40320 |     123695 |         aiogram.types.background_type_union
import time:     30667 |      30667 |         aiogram.types.birthdate
import time:    100782 |     100782 |         aiogram.types.bot_command
import time:     80236 |      80236 |         aiogram.types.bot_command_scope
import time:     50879 |      50879 |         aiogram.types.bot_command_scope_all_chat_administrators
import time:     70399 |      70399 |         aiogram.types.bot_command_scope_all_group_chats
import time:     62216 |      62216 |         aiogram.types.bot_command_scope_all_private_chats
import time:     67978 |      67978 |         aiogram.types.bot_command_scope_chat
import time:     88464 |      88464 |         aiogram.types.bot_command_scope_chat_administrators
import time:    120078 |     120078 |         aiogram.types.bot_command_scope_chat_member
import time:     93105 |      93105 |         aiogram.types.bot_command_scope_default
import time:     69211 |      69211 |         aiogram.types.bot_command_scope_union
import time:     87018 |      87018 |         aiogram.types.bot_description
import time:    124010 |     124010 |         aiogram.types.bot_name
import time:     88131 |      88131 |         aiogram.types.bot_short_description
import time:     66357 |      66357 |         aiogram.types.business_bot_rights
import time:    201432 |     201432 |           aiogram.types.custom
import time:     61662 |     263093 |         aiogram.types.business_connection
import time:     72697 |      72697 |         aiogram.types.business_intro
import time:    116721 |     116721 |         aiogram.types.business_location
import time:     92917 |      92917 |         aiogram.types.business_messages_deleted
import time:    119586 |     119586 |         aiogram.types.business_opening_hours
import time:    173158 |     173158 |         aiogram.types.business_opening_hours_interval
import time:    258226 |     258226 |         aiogram.types.callback_game
import time:    104728 |     104728 |         aiogram.types.callback_query
import time:    122450 |     122450 |         aiogram.types.chat
import time:    129072 |     129072 |         aiogram.types.chat_administrator_rights
import time:    211555 |     211555 |         aiogram.types.chat_background
import time:    142256 |     142256 |         aiogram.types.chat_boost
import time:     71227 |      71227 |         aiogram.types.chat_boost_added
import time:     85226 |      85226 |         aiogram.types.chat_boost_removed
import time:    108214 |     108214 |         aiogram.types.chat_boost_source
import time:    112291 |     112291 |         aiogram.types.chat_boost_source_gift_code
import time:     70549 |      70549 |         aiogram.types.chat_boost_source_giveaway
import time:     66256 |      66256 |         aiogram.types.chat_boost_source_premium
import time:    106212 |     106212 |         aiogram.types.chat_boost_source_union
import time:     81480 |      81480 |         aiogram.types.chat_boost_updated
import time:    119619 |     119619 |         aiogram.types.chat_full_info
import time:     77563 |      77563 |         aiogram.types.chat_id_union
import time:     87654 |      87654 |         aiogram.types.chat_invite_link
import time:     73848 |      73848 |         aiogram.types.chat_join_request
import time:    100197 |     100197 |         aiogram.types.chat_location
import time:    109817 |     109817 |         aiogram.types.chat_member
import time:     80573 |      80573 |         aiogram.types.chat_member_administrator
